yearNum,formattedYear,era,isoYear,BC-AD,peopleBorn,peopleDied,events,booksWritten,modified
-716,716 BC,,-715,BC,,ahaz_118,,,2019-07-22 00:52
-689,689 BC,,-688,BC,,hezekiah_1512,,,2019-07-22 00:52
-677,677 BC,,-676,BC,manasseh_1930,,,,2019-07-22 00:52
-662,662 BC,,-661,BC,amon_236,,,,2019-07-22 00:52
-648,648 BC,,-647,BC,josiah_1730,,,,2019-07-22 00:52
-642,642 BC,,-641,BC,,manasseh_1930,,,2019-07-22 00:52
-640,640 BC,,-639,BC,,amon_236,,,2019-07-22 00:52
-634,634 BC,,-633,BC,jehoiakim_1085,,,,2019-07-22 00:52
-628,628 BC,,-627,BC,zedekiah_1950,,,,2019-07-22 00:52
-616,616 BC,,-615,BC,jehoiachin_791,,,,2019-07-22 00:52
-609,609 BC,,-608,BC,,josiah_1730,,,2019-07-22 00:52
-598,598 BC,,-597,BC,,jehoiakim_1085,,,2019-07-22 00:52
-6,6 BC,,-5,BC,,,,,2019-07-22 00:52
-4,4 BC,,-3,BC,jesus_905,,,,2019-07-22 00:52
30,AD 30,,30,AD,,,,,2019-07-22 00:52
30,AD 30,,30,AD,,jesus_905,,,2019-07-22 00:52
33,AD 33,,33,AD,,,"The Holy Spirit is promised,Jesus ascends to Heaven,Matthias replaces Judas,The Holy Spirit comes,Peter preaches at Pentecost,The church grows,Lame man healed,Peter preaches in Solomon's Portico,Peter and John's Trial,Believers pray for boldness,Believers share all things,Ananias and Sapphira lie to God,Apostles work signs and wonders in Solomon's Portico,""Apostles arrested, put on trial"",Gamaliel advises the counsel and Apostles freed,Seven chosen to serve,Stephen is seized,Stephen addresses the council,Stephen is stoned",,2019-07-22 00:52
34,AD 34,,34,AD,,,"Saul persecutes the church,Philip preaches in Samaria,Conversion of Ethiopian Eunuch",,2019-07-22 00:52
35,AD 35,,35,AD,,,"Saul is converted,Saul proclaims Jesus",,2019-07-22 00:52
41,AD 41,,41,AD,,,"Peter meets Cornelius,Peter preaches to gentiles in Caesarea,Peter defends Gentile salvation,Peter heals Aeneas and Dorcas,Disciples first called Christians",,2019-07-22 00:52
43,AD 43,,43,AD,,,"Herod kills James,Herod imprisons Peter,An angel rescues Peter from prison,Herod dies",,2019-07-22 00:52
44,AD 44,,44,AD,,,,,2019-07-22 00:52
45,AD 45,,45,AD,,,,Jas,2019-07-22 00:52
46,AD 46,,46,AD,,,,,2019-07-22 00:52
48,AD 48,,48,AD,,,"First missionary journey begins,Barnabas and Saul go to Cyprus,Mission to Antioch in Pisidia",,2019-07-22 00:52
49,AD 49,,49,AD,,,"Mission to Iconium,Mission to Lystra and Derbe,Return to Antioch in Syria,Paul Writes Galations,Jerusalem Council,Paul and Barnabas part ways",Gal,2019-07-22 00:52
