osisName,bookOrder,bookName,bookDiv,testament,shortName,slug,yearWritten,placeWritten,chapters,chapterCount,verseCount,writers,peopleCount,placeCount,modified
Acts,44,Acts,Acts,New Testament,Ac,acts,61,,"Acts.1,Acts.2,Acts.3,Acts.4,Acts.5,Acts.6,Acts.7,Acts.8,Acts.9,Acts.10,Acts.11,Acts.12,Acts.13,Acts.14,Acts.15,Acts.16,Acts.17,Acts.18,Acts.19,Acts.20,Acts.21,Acts.22,Acts.23,Acts.24,Acts.25,Acts.26,Acts.27,Acts.28",28,1007,luke_1836,592,244,
Rom,45,Romans,Pauline Epistles,New Testament,Ro,rom,57,greece_495,"Rom.1,Rom.2,Rom.3,Rom.4,Rom.5,Rom.6,Rom.7,Rom.8,Rom.9,Rom.10,Rom.11,Rom.12,Rom.13,Rom.14,Rom.15,Rom.16",16,433,paul_2479,238,13,
1Cor,46,1 Corinthians,Pauline Epistles,New Testament,1Co,1cor,56,ephesus_400,"1Cor.1,1Cor.2,1Cor.3,1Cor.4,1Cor.5,1Cor.6,1Cor.7,1Cor.8,1Cor.9,1Cor.10,1Cor.11,1Cor.12,1Cor.13,1Cor.14,1Cor.15,1Cor.16",16,437,paul_2479,192,8,
2Cor,47,2 Corinthians,Pauline Epistles,New Testament,2Co,2cor,56,macedonia_747,"2Cor.1,2Cor.2,2Cor.3,2Cor.4,2Cor.5,2Cor.6,2Cor.7,2Cor.8,2Cor.9,2Cor.10,2Cor.11,2Cor.12,2Cor.13",13,257,paul_2479,122,12,
Gal,48,Galatians,Pauline Epistles,New Testament,Ga,gal,49,antioch_68,"Gal.1,Gal.2,Gal.3,Gal.4,Gal.5,Gal.6",6,149,paul_2479,87,10,
Eph,49,Ephesians,Pauline Epistles,New Testament,Eph,eph,61,rome_1013,"Eph.1,Eph.2,Eph.3,Eph.4,Eph.5,Eph.6",6,155,paul_2479,88,1,
Phil,50,Philippians,Pauline Epistles,New Testament,Php,phil,61,rome_1013,"Phil.1,Phil.2,Phil.3,Phil.4",4,104,paul_2479,63,3,
Col,51,Colossians,Pauline Epistles,New Testament,Col,col,61,rome_1013,"Col.1,Col.2,Col.3,Col.4",4,95,paul_2479,51,5,
1Thess,52,1 Thessalonians,Pauline Epistles,New Testament,1Th,1thess,51,corinth_306,"1Thess.1,1Thess.2,1Thess.3,1Thess.4,1Thess.5",5,89,paul_2479,49,6,
2Thess,53,2 Thessalonians,Pauline Epistles,New Testament,2Th,2thess,51,corinth_306,"2Thess.1,2Thess.2,2Thess.3",3,47,paul_2479,29,0,
1Tim,54,1 Timothy,Pauline Epistles,New Testament,1Ti,1tim,63,,"1Tim.1,1Tim.2,1Tim.3,1Tim.4,1Tim.5,1Tim.6",6,113,paul_2479,38,1,
2Tim,55,2 Timothy,Pauline Epistles,New Testament,2Ti,2tim,66,rome_1013,"2Tim.1,2Tim.2,2Tim.3,2Tim.4",4,83,paul_2479,47,8,
Titus,56,Titus,Pauline Epistles,New Testament,Tit,titus,63,,"Titus.1,Titus.2,Titus.3",3,46,paul_2479,16,2,
Phlm,57,Philemon,Pauline Epistles,New Testament,Phm,phlm,61,rome_1013,Phlm.1,1,25,paul_2479,15,0,
Heb,58,Hebrews,Pauline Epistles,New Testament,Heb,heb,67,,"Heb.1,Heb.2,Heb.3,Heb.4,Heb.5,Heb.6,Heb.7,Heb.8,Heb.9,Heb.10,Heb.11,Heb.12,Heb.13",13,303,paul_2479,139,11,
Jas,59,James,General Epistles,New Testament,Jas,jas,45,,"Jas.1,Jas.2,Jas.3,Jas.4,Jas.5",5,108,james_719,29,0,
1Pet,60,1 Peter,General Epistles,New Testament,1Pe,1pet,64,,"1Pet.1,1Pet.2,1Pet.3,1Pet.4,1Pet.5",5,105,peter_2745,56,3,
2Pet,61,2 Peter,General Epistles,New Testament,2Pe,2pet,67,,"2Pet.1,2Pet.2,2Pet.3",3,61,peter_2745,24,1,
1John,62,1 John,General Epistles,New Testament,1Jn,1john,,,"1John.1,1John.2,1John.3,1John.4,1John.5",5,105,john_1677,61,0,
2John,63,2 John,General Epistles,New Testament,2Jn,2john,,,2John.1,1,13,john_1677,6,0,
3John,64,3 John,General Epistles,New Testament,3Jn,3john,,,3John.1,1,14,john_1677,4,0,
Jude,65,Jude,General Epistles,New Testament,Jud,jude,,,Jude.1,1,25,jude_1756,11,2,
Rev,66,Revelation,Revelation,New Testament,Re,rev,,,"Rev.1,Rev.2,Rev.3,Rev.4,Rev.5,Rev.6,Rev.7,Rev.8,Rev.9,Rev.10,Rev.11,Rev.12,Rev.13,Rev.14,Rev.15,Rev.16,Rev.17,Rev.18,Rev.19,Rev.20,Rev.21,Rev.22",22,404,john_1677,156,27,
