"PersonID","Alias"
"838","Jemuel"
"839","Jephthah"
"840","Jephunneh"
"841","Jephunneh"
"842","Jerah"
"843","Jerahmeel"
"844","Jerahmeel"
"845","Jerahmeel"
"846","Jered"
"847","Jeremai"
"848","Jeremiah"
"849","Jeremiah"
"850","Jeremiah"
"851","Jeremiah"
"852","Jeremiah"
"853","Jeremiah"
"854","Jeremiah"
"855","Jeremiah"
"856","Jeremoth"
"857","Jeremoth"
"858","Jeremoth"
"859","Jeremoth"
"860","Jeriah"
"861","Jeribai"
"862","Jeriel"
"863","Jerijah"
"864","Jerimoth"
"865","Jerimoth"
"866","Jerimoth"
"867","Jerimoth"
"868","Jerimoth"
"869","Jerimoth"
"870","Jerimoth"
"871","Jerioth"
"872","Jeroboam"
"873","Jeroboam"
"874","Jeroham"
"875","Jeroham"
"876","Jeroham"
"877","Jeroham"
"878","Jeroham"
"879","Jeroham"
"880","Jeroham"
"881","Jerubbesheth"
"882","Jerusha"
"883","Jesaiah"
"884","Jesaiah"
"885","Jeshaiah"
"886","Jeshaiah"
"887","Jeshaiah"
"888","Jeshebeab"
"889","Jesher"
"890","Jeshishai"
"891","Jeshohaiah"
"892","Jeshua"
"893","Jeshua"
"894","Jeshua"
"895","Jeshua"
"896","Jeshua"
"897","Jeshua"
"898","Jeshua"
"900","Jesiah"
"901","Jesiah"
"902","Jesimiel"
"903","Jesse"
"904","Jesus"
"905","Jesus Christ"
"906","Jether"
"907","Jether"
"908","Jether"
"909","Jether"
"910","Jetheth"
"911","Jetur"
"912","Jeuel"
"913","Jeush"
"914","Canaan"
"915","Canaanitish woman"
"916","Candace"
"917","Caphtorim"
"918","Carcas"
"919","Careah"
"920","Carmi"
"921","Carmi"
"922","Carshena"
"923","Casluhim"
"924","Chalcol"
"926","Chedorlaomer"
"927","Chelal"
"928","Chelluh"
"929","Chelub"
"930","Chelub"
"931","Chemosh"
"932","Chenaanah"
"933","Chenaanah"
"934","Chenani"
"935","Chenaniah"
"936","Chenaniah"
"937","Cheran"
"938","Chesed"
"939","Chileab"
"940","Chilion"
"941","Chimham"
"942","Chislon"
"943","Chloe"
"945","Chuza"
"946","Claudia"
"947","Claudius"
"948","Claudius Lysias"
"949","Clement"
"950","Cleopas"
"953","Conaniah"
"954","Concubine the Aramitess"
"955","Cononiah"
"956","Cornelius"
"957","Cosam"
"958","Coz"
"959","Cozbi"
"960","Crescens"
"961","Crispus"
"962","Cush"
"963","Cush"
"964","Cushi"
"965","Cushi"
"966","Cushi"
"967","Cyrenius"
"968","Cyrus"
"969","Dagon"
"970","Dalaiah"
"971","Dalphon"
"972","Damaris"
"973","Dan"
"974","Daniel"
"975","Daniel"
"976","Dara"
"977","Darda"
"978","Darius"
"979","Darius"
"980","Darius"
"981","Darkon"
"982","Dathan"
"983","Daughter of Herodias"
"984","Daughter of Lot - Younger"
"986","Daughter of Machir"
"987","Daughter of Meshullam"
"988","Daughter of Pharaoh"
"989","Daughter of Pharaoh"
"990","Daughter of Putiel"
"991","Daughter of Sanballat"
"992","Daughter of Shechaniah"
"993","Daughter of Shuah"
"994","David"
"995","Debir"
"996","Deborah"
"997","Deborah"
"998","Dedan"
"999","Dedan"
"1000","Dekar"
"1001","Delaiah"
"1002","Delaiah"
"1003","Delaiah"
"1004","Delaiah"
"1005","Delilah"
"1006","Demas"
