"PlaceMarkID","Latitude","Longitude","Label"
"329","32.26","35.32","Ebez"
"330","32.26","35.57","Zarethan"
"331","32.27","35.29","Tirzah"
"332","32.28","35.19","Samaria"
"333","32.28","35.02","Pirathon"
"334","32.3","35.55","Jordan"
"335","32.32","45.63","Erech"
"336","32.32","35.36","Thebez"
"337","32.35","35.53","Abel-meholah"
"338","32.36","35.25","Shamir"
"339","32.36","34.88","Hepher"
"340","32.36","35.4","Bezek"
"341","32.37","35.61","Jabesh-gilead"
"342","32.39","35.37","Rabbith"
"343","32.39","35.54","Aenon"
"344","32.39","35.52","Salim"
"345","32.4","35.5","Beth-shemesh"
"346","32.42","35.18","Dothan"
"347","32.45","35.28","Ibleam"
"348","32.46","35.3","En-gannim"
"349","32.47","35.25","En-haddah"
"350","32.49","36.71","Salecah"
"351","32.49","34.89","Caesarea"
"352","32.5","35.5","Beth-shean"
"353","32.5","35.4","Gilboa"
"354","32.51","36.48","Bezer"
"355","32.51","35.4","Gilboa"
"356","32.51","35.21","Taanach"
"357","32.52","35.2","Hadad-rimmon"
"358","32.53","44.42","Babylon"
"359","32.53","34.9","Shihor-libnath"
"360","32.54","35.35","Harod"
"361","32.55","35.43","Beth-shittah"
"362","32.55","35.33","Jezreel"
"363","32.55","35.24","Kishion"
"364","32.56","35.84","Beth-arbel"
"365","32.56","36.24","Tob"
"366","32.56","36.0","Ramoth-gilead"
"367","32.58","35.18","Megiddo"
"368","32.6","35.33","Shunem"
"369","32.6","35.39","Anaharath"
"370","32.6","35.28","Ophrah"
"371","32.61","35.54","Adami-nekeb"
"372","32.61","34.91","Dor"
"373","32.61","35.35","Moreh"
"374","32.62","36.09","Edrei"
"375","32.62","35.38","En-dor"
"376","32.63","35.34","Nain"
"377","32.63","34.94","Sharon"
"378","32.66","35.78","Lo-debar"
"379","32.66","35.1","Jokneam"
"380","32.68","35.32","Tabor"
"381","32.68","35.39","Tabor"
"382","32.68","35.19","Sarid"
"383","32.69","35.11","Harosheth-hagoyim"
"384","32.69","35.27","Japhia"
"385","32.69","35.37","Daberath"
"386","32.69","35.24","Mareal"
"387","32.7","35.5","Jabneel"
"388","32.7","35.21","Shimron"
"389","32.7","35.3","Nazareth"
"390","32.71","35.33","Shion"
"391","32.72","35.35","Nahalal"
"392","32.72","35.43","Adamah"
"393","32.72","35.46","Lasharon"
"394","32.72","35.04","Carmel"
"395","32.73","35.16","Idalah"
"396","32.73","44.66","Cuth"
"397","32.73","35.18","Bethlehem"
"398","32.73","35.32","Gath-hepher"
"399","32.74","35.33","Cana"
"400","32.75","35.27","Kitron"
"401","32.75","36.61","Nobah"
"402","32.76","35.06","Kishon"
"403","32.76","36.01","Ashteroth-karnaim"
"404","32.77","35.69","Aphek"
"405","32.78","35.32","Rimmon"
"406","32.79","35.52","Tiberias"
"407","32.79","35.45","Madon"
"408","32.8","35.93","Golan"
"409","32.8","35.58","Galilee"
"410","32.81","35.43","Ziddim"
"411","32.82","21.85","Cyrene"
"412","32.83","35.27","Iphtahel"
"413","32.83","36.5","Trachonitis"
"414","32.83","36.01","Ashtaroth"
"415","32.84","35.52","Magadan"
"416","32.85","35.5","Gennesaret"
"417","32.86","35.21","Cabul"
"418","32.88","35.57","Capernaum"
"419","32.88","35.49","Hukkok"
"420","32.89","35.22","Neah"
"421","32.89","35.1","Beth-dagon"
"422","32.9","35.62","Bethsaida"
"423","32.9","35.55","Chorazin"
"424","32.91","35.42","Hannathon"
"425","32.92","35.08","Ptolemais"
"426","32.93","35.27","Beten"
"427","32.93","35.36","Ramah"
"428","32.95","35.17","Achshaph"
"429","32.95","35.21","Rehob"
"430","32.97","35.18","Allammelech"
"431","32.97","35.16","Beth-emek"
"432","33.0","35.26","Dabbesheth"
"433","33.0","36.41","Geshur"
"434","33.01","35.56","Hazor"
"435","33.01","35.17","Amad"
"436","33.02","35.44","Mahalab"
"437","33.04","35.17","Abdon"
"438","33.04","35.1","Achzib"
"439","33.07","35.6","Merom"
"440","33.08","35.41","Yiron"
"441","33.09","44.12","Accad"
"442","33.1","35.35","En-hazor"
"443","33.1","35.18","Ummah"
"444","33.11","35.31","Ramah"
"445","33.11","35.53","Kedesh"
"446","33.11","35.13","Misrephoth-maim"
"447","33.12","35.16","Hammath"
"448","33.13","35.33","Heleph"
"449","33.14","36.13","Argob"
"450","33.14","35.42","Beth-shemesh"
"451","33.15","44.06","Chebar"
"452","33.16","35.43","Horem"
"453","33.2","36.5","Maacah"
"454","33.21","35.54","Rehob"
"455","33.23","35.36","Migdal-el"
"456","33.24","33.47","Sea"
"457","33.24","35.69","Caesarea Philippi"
"458","33.24","35.65","Dan"
"459","33.26","35.3","Janoah"
"460","33.26","35.57","Abel"
"461","33.27","35.19","Tyre"
"462","33.28","35.57","Mizpah"
"463","33.32","35.61","Ijon"
"464","33.37","36.3","Pharpar"
"465","33.41","35.85","Baal-hermon"
"466","33.43","35.3","Zarephath"
"467","33.5","36.46","Hobah"
"468","33.51","36.31","Damascus"
"469","33.54","36.22","Abana"
"470","33.56","35.36","Sidon"
"471","33.58","36.09","Abilene"
"472","33.62","42.78","Ahava"
"473","33.63","35.43","Mearah"
"474","33.66","36.24","Helbon"
"475","33.68","36.05","Amana"
"476","33.75","35.59","Lebanon"
"477","33.78","44.45","Sepharvaim"
"478","33.93","36.15","Berothah"
"479","34.0","36.2","Aven"
"480","34.06","35.86","Aphek"
"481","34.11","35.64","Gebal"
"482","34.22","37.24","Hazar-enan"
"483","34.31","36.92","Zobah"
"484","34.35","36.38","Rimmon"
"485","34.43","36.54","Riblah"
"486","34.46","41.96","Avva"
"487","34.55","38.26","Tamar"
"488","34.55","36.52","Kadesh"
"489","34.73","36.34","Hethlon"
"490","34.75","32.4","Paphos"
"491","34.79","48.51","Persia"
"492","34.84","24.09","Cauda"
"493","34.85","39.12","Aram"
"494","34.85","35.85","Arvad"
"495","34.92","24.73","Fair Havens"
"496","34.93","24.8","Lasea"
"497","35.01","33.2","Cyprus"
"498","35.09","40.42","Euphrates"
"499","35.1","42.0","Aram-naharaim"
"500","35.13","36.74","Hamath"
"501","35.17","25.0","Crete"
"502","35.17","33.9","Salamis"
"503","35.19","24.08","Phoenix"
"504","35.21","26.27","Salmone"
"505","35.71","36.18","Hor"
"506","35.84","38.73","Tiphsah"
"507","35.85","14.53","Malta"
"508","35.95","39.01","Rezeph"
"509","35.98","43.34","Tigris"
"510","36.11","35.92","Seleucia"
"511","36.14","43.31","Calah"
"512","36.2","36.16","Antioch"
"513","36.23","30.01","Myra"
"514","36.27","29.31","Patara"
"515","36.34","40.78","Habor"
"516","36.35","43.15","Nineveh"
"517","36.44","28.22","Rhodes"
"518","36.65","38.06","Pethor"
"519","36.68","27.37","Cnidus"
"520","36.73","35.48","Cappadocia"
"521","36.8","27.08","Cos"
"522","36.82","38.01","Carchemish"
"523","36.84","40.06","Gozan"
"524","36.86","39.03","Haran"
"525","36.88","30.69","Attalia"
"526","36.91","34.89","Tarsus"
"527","36.95","-6.37","Tarshish"
"528","37.0","36.57","Luz"
"529","37.0","30.9","Pamphylia"
"530","37.05","40.99","Ellasar"
"531","37.06","15.29","Syracuse"
"532","37.3","26.54","Patmos"
"533","37.35","33.27","Derbe"
"534","37.5","27.3","Miletus"
"535","37.57","32.45","Galatia"
"536","37.71","26.93","Samos"
"537","37.76","29.06","Laodicea"
"538","37.78","29.25","Colossae"
"539","37.88","32.49","Iconium"
"540","37.88","22.99","Cenchreae"
"541","37.9","22.87","Corinth"
"542","37.92","29.12","Hierapolis"
"543","37.95","27.36","Ephesus"
"544","37.98","23.73","Athens"
"545","38.11","15.64","Rhegium"
"546","38.31","31.17","Antioch"
